spell,rank,learned,cost_and_cooldown,forever_text,classic_status,classic_text,source,spell_id
Throw,,,8-30 yd range; 0.5 sec cast; 1.7 sec cooldown; Requires Thrown,Hurl a thrown weapon at the target.,,,demo,
Shoot Bow,,,8-30 yd range; 1 sec cast; 1.7 sec cooldown,,,,demo,
Shoot Crossbow,,Requires level 1,,Attack with an equipped wand.,,,classic,5019
Shoot Gun,,,8-30 yd range; 1 sec cast; 1.7 sec cooldown; Requires Guns,,,,demo,
Dual Wield,Passive,,,Allows one-hand and off-hand weapons to be equipped in the off-hand.,,,classic,674
Armor Proficiency,Passive,,Passive,You are proficient in the use of the following armor types: the ones your class can wear.,,,demo,
Block,Passive,Requires level 1,,Gives a chance to block enemy melee and ranged attacks.,,,classic,107
Dodge,Passive,,Passive,Gives a chance to dodge enemy melee attacks.,,,demo,
Parry,Passive,Requires level 1,,Gives a chance to parry enemy melee attacks.,,,classic,3127
Battle Stance,,Learned at level 1,Instant; 1 sec cooldown,A balanced combat stance.,same,,beta,2457
Charge,Rank 1,Learned at level 4,8-25 yd range; Instant; 15 sec cooldown; Requires Battle Stance,"Charge an enemy, generate 9 Rage, and Stun it for 1 sec. Cannot be used in combat.",same,,beta,100
Charge,Rank 2,Learned at level 26,8-25 yd range; Instant; 15 sec cooldown; Requires Battle Stance,"Charge an enemy, generate 12 Rage, and Stun it for 1 sec. Cannot be used in combat.",same,,beta,6178
Charge,Rank 3,Learned at level 46,8-25 yd range; Instant; 15 sec cooldown; Requires Battle Stance,"Charge an enemy, generate 15 Rage, and Stun it for 1 sec. Cannot be used in combat.",same,,beta,11578
Hamstring,Rank 1,Learned at level 8,"10 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Maims the enemy, causing 5 damage and slowing the enemy's movement by 40% for 15 sec.",same,,beta,1715
Hamstring,Rank 2,Learned at level 32,"10 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Maims the enemy, causing 18 damage and slowing the enemy's movement by 45% for 15 sec.",same,,beta,7372
Hamstring,Rank 3,Learned at level 54,"10 Rage; Melee Range; Instant; Requires Battle Stance, Berserker Stance","Maims the enemy, causing 45 damage and slowing the enemy's movement by 50% for 15 sec.",same,,beta,7373
Heroic Strike,Rank 1,Learned at level 1,15 Rage; Next melee,A strong attack that increases melee damage by 11 and causes a high amount of threat.,same,,beta,78
Heroic Strike,Rank 2,Learned at level 8,15 Rage; Next melee,A strong attack that increases melee damage by 21 and causes a high amount of threat.,same,,beta,284
Heroic Strike,Rank 3,Learned at level 16,15 Rage; Next melee,A strong attack that increases melee damage by 32 and causes a high amount of threat.,same,,beta,285
Heroic Strike,Rank 4,Learned at level 24,15 Rage; Next melee,A strong attack that increases melee damage by 44 and causes a high amount of threat.,same,,beta,1608
Heroic Strike,Rank 5,Learned at level 32,15 Rage; Next melee,A strong attack that increases melee damage by 58 and causes a high amount of threat.,same,,beta,11564
Heroic Strike,Rank 6,Learned at level 40,15 Rage; Next melee,A strong attack that increases melee damage by 80 and causes a high amount of threat.,same,,beta,11565
Heroic Strike,Rank 7,Learned at level 48,15 Rage; Next melee,A strong attack that increases melee damage by 111 and causes a high amount of threat.,same,,beta,11566
Heroic Strike,Rank 8,Learned at level 56,15 Rage; Next melee,A strong attack that increases melee damage by 138 and causes a high amount of threat.,same,,beta,11567
Heroic Strike,Rank 9,Learned at level 60,15 Rage; Next melee,A strong attack that increases melee damage by 157 and causes a high amount of threat.,same,,beta,25286
Mocking Blow,Rank 1,Learned at level 16,10 Rage; Melee Range; Instant; 2 min cooldown; Requires Battle Stance,"A mocking attack that causes 22 damage, a moderate amount of threat and forces the target to focus attacks on you for 6 sec.",same,,beta,694
Mocking Blow,Rank 2,Learned at level 26,10 Rage; Melee Range; Instant; 2 min cooldown; Requires Battle Stance,"A mocking attack that causes 31 damage, a moderate amount of threat and forces the target to focus attacks on you for 6 sec.",same,,beta,7400
Mocking Blow,Rank 3,Learned at level 36,10 Rage; Melee Range; Instant; 2 min cooldown; Requires Battle Stance,"A mocking attack that causes 46 damage, a moderate amount of threat and forces the target to focus attacks on you for 6 sec.",same,,beta,7402
Mocking Blow,Rank 4,Learned at level 46,10 Rage; Melee Range; Instant; 2 min cooldown; Requires Battle Stance,"A mocking attack that causes 71 damage, a moderate amount of threat and forces the target to focus attacks on you for 6 sec.",same,,beta,20559
Mocking Blow,Rank 5,Learned at level 56,10 Rage; Melee Range; Instant; 2 min cooldown; Requires Battle Stance,"A mocking attack that causes 93 damage, a moderate amount of threat and forces the target to focus attacks on you for 6 sec.",same,,beta,20560
Mortal Strike,Rank 1,Learned at level 40,30 Rage; Melee Range; Instant; 6 sec cooldown,"A vicious strike that deals weapon damage plus 85 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",same,,beta,12294
Mortal Strike,Rank 2,Learned at level 48,30 Rage; Melee Range; Instant; 6 sec cooldown,"A vicious strike that deals weapon damage plus 110 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",same,,beta,21551
Mortal Strike,Rank 3,Learned at level 54,30 Rage; Melee Range; Instant; 6 sec cooldown,"A vicious strike that deals weapon damage plus 135 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",same,,beta,21552
Mortal Strike,Rank 4,Learned at level 60,30 Rage; Melee Range; Instant; 6 sec cooldown,"A vicious strike that deals weapon damage plus 160 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",same,,beta,21553
Overpower,Rank 1,Learned at level 12,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Battle Stance,"Instantly overpower the enemy, causing weapon damage plus 5. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",same,,beta,7384
Overpower,Rank 2,Learned at level 28,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Battle Stance,"Instantly overpower the enemy, causing weapon damage plus 15. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",same,,beta,7887
Overpower,Rank 3,Learned at level 44,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Battle Stance,"Instantly overpower the enemy, causing weapon damage plus 25. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",same,,beta,11584
Overpower,Rank 4,Learned at level 60,5 Rage; Melee Range; Instant; 5 sec cooldown; Requires Battle Stance,"Instantly overpower the enemy, causing weapon damage plus 35. Only useable after the target dodges. The Overpower cannot be blocked, dodged or parried.",same,,beta,11585
Rend,Rank 1,Learned at level 4,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 15 damage over 9 sec.,same,,beta,772
Rend,Rank 2,Learned at level 10,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 28 damage over 12 sec.,same,,beta,6546
Rend,Rank 3,Learned at level 20,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 45 damage over 15 sec.,same,,beta,6547
Rend,Rank 4,Learned at level 30,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 66 damage over 18 sec.,same,,beta,6548
Rend,Rank 5,Learned at level 40,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 98 damage over 21 sec.,same,,beta,11572
Rend,Rank 6,Learned at level 50,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 126 damage over 21 sec.,same,,beta,11573
Rend,Rank 7,Learned at level 60,"10 Rage; Melee Range; Instant; Requires Battle Stance, Defensive Stance",Wounds the target causing them to bleed for 147 damage over 21 sec.,same,,beta,11574
Retaliation,,Learned at level 20,Instant; 15 min cooldown; Requires Battle Stance,Instantly counterattack any enemy that strikes you in melee for 15 sec. Melee attacks made from behind cannot be counterattacked. A maximum of 30 attacks will cause retaliation.,changed,,beta,20230
Spearing Strike,,Learned at level 1,"15 Rage; Melee Range; Instant; 20 sec cooldown; Requires Two-Handed Axes, Two-Handed Maces, Polearms, Two-Handed Swords, Staves","A brutal attack that deals 40% weapon damage. Deals an additional 80% weapon damage against Giants, Dragonkin, and mounted targets. Mounted targets are dismounted.",new,,beta,1310222
Sweeping Strikes,,Learned at level 30,30 Rage; Instant; 30 sec cooldown; Requires Battle Stance,Your next 5 melee attacks strike an additional nearby opponent.,same,,beta,12292
Tactical Mastery,,Learned at level 14,,You retain up to 10 Rage when you change Stances.,note,,beta,1310185
Thunder Clap,Rank 1,Learned at level 6,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies, increasing the time between their attacks by 20% for 10 sec and doing 10 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies increasing the time between their attacks by 10% for 10 sec and doing 10 damage to them. Will affect up to 4 targets.,beta,6343
Thunder Clap,Rank 2,Learned at level 18,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies with thunder increasing, the time between their attacks by 20% for 14 sec and doing 23 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies with thunder increasing the time between their attacks by 10% for 14 sec and doing 23 damage to them. Will affect up to 4 targets.,beta,8198
Thunder Clap,Rank 3,Learned at level 28,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies with thunder, increasing the time between their attacks by 20% for 18 sec and doing 37 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies with thunder increasing the time between their attacks by 10% for 18 sec and doing 37 damage to them. Will affect up to 4 targets.,beta,8204
Thunder Clap,Rank 4,Learned at level 38,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies with thunder, increasing the time between their attacks by 20% for 22 sec and doing 55 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies with thunder increasing the time between their attacks by 10% for 22 sec and doing 55 damage to them. Will affect up to 4 targets.,beta,8205
Thunder Clap,Rank 5,Learned at level 48,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies with thunder, increasing the time between their attacks by 20% for 26 sec and doing 82 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies with thunder increasing the time between their attacks by 10% for 26 sec and doing 82 damage to them. Will affect up to 4 targets.,beta,11580
Thunder Clap,Rank 6,Learned at level 58,"20 Rage; Instant; 6 sec cooldown; Requires Battle Stance, Defensive Stance","Blasts nearby enemies with thunder, increasing the time between their attacks by 20% for 30 sec and doing 103 damage to them. Will affect up to 4 targets.",changed,Blasts nearby enemies with thunder increasing the time between their attacks by 10% for 30 sec and doing 103 damage to them. Will affect up to 4 targets.,beta,11581
Victory Rush,,Learned at level 20,Melee Range; Instant; 30 sec cooldown,Instantly attack the target causing 15% of Attack Power damage and healing you for 10% of your maximum health. Only useable within 20 sec after you kill a non-trivial enemy.,new,,beta,402927
Battle Shout,Rank 1,Learned at level 1,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 12. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 20. Lasts 2 min.",beta,6673
Battle Shout,Rank 2,Learned at level 12,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 23. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 39. Lasts 2 min.",beta,5242
Battle Shout,Rank 3,Learned at level 22,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 35. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 59. Lasts 2 min.",beta,6192
Battle Shout,Rank 4,Learned at level 32,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 56. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 94. Lasts 2 min.",beta,11549
Battle Shout,Rank 5,Learned at level 42,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 83. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 139. Lasts 2 min.",beta,11550
Battle Shout,Rank 6,Learned at level 52,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 115. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 193. Lasts 2 min.",beta,11551
Battle Shout,Rank 7,Learned at level 60,10 Rage; Instant,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 139. Lasts 3 min.",changed,"The warrior shouts, increasing the melee attack power of all party members within 20 yards by 232. Lasts 2 min.",beta,25289
Berserker Rage,,Learned at level 32,Instant; 30 sec cooldown; Requires Berserker Stance,"The warrior enters a berserker rage, becoming immune to Fear and Incapacitate effects and generating extra rage when taking damage. Lasts 10 sec.",same,,beta,18499
Berserker Stance,,Learned at level 30,Instant; 1 sec cooldown,An aggressive stance. Critical strike chance increased by 3% and all damage taken is increased by 10%.,changed,An aggressive stance. Critical hit chance is increased by 3% and all damage taken is increased by 10%.,beta,2458
Bloodthirst,Rank 1,Learned at level 40,30 Rage; Melee Range; Instant; 6 sec cooldown,Instantly attack the target causing damage equal to 35% of your Attack Power plus 30 and increasing your movement speed by 10% for 10 sec.,changed,"Instantly attack the target causing damage equal to 45% of your attack power. In addition, the next 5 successful melee attacks will restore 10 health. This effect lasts 8 sec.",beta,23881
Bloodthirst,Rank 2,Learned at level 48,30 Rage; Melee Range; Instant; 6 sec cooldown,Instantly attack the target causing damage equal to 35% of your Attack Power plus 37 and increasing your movement speed by 10% for 10 sec.,changed,"Instantly attack the target causing damage equal to 45% of your attack power. In addition, the next 5 successful melee attacks will restore 13 health. This effect lasts 8 sec.",beta,23892
Bloodthirst,Rank 3,Learned at level 54,30 Rage; Melee Range; Instant; 6 sec cooldown,Instantly attack the target causing damage equal to 35% of your Attack Power plus 43 and increasing your movement speed by 10% for 10 sec.,changed,"Instantly attack the target causing damage equal to 45% of your attack power. In addition, the next 5 successful melee attacks will restore 17 health. This effect lasts 8 sec.",beta,23893
Bloodthirst,Rank 4,Learned at level 60,30 Rage; Melee Range; Instant; 6 sec cooldown,Instantly attack the target causing damage equal to 35% of your Attack Power plus 48 and increasing your movement speed by 10% for 10 sec.,changed,"Instantly attack the target causing damage equal to 45% of your attack power. In addition, the next 5 successful melee attacks will restore 20 health. This effect lasts 8 sec.",beta,23894
Challenging Shout,,Learned at level 26,5 Rage; Instant; 10 min cooldown,Forces all nearby enemies within 10 yards to focus attacks on you for 6 sec.,changed,Forces all nearby enemies to focus attacks on you for 6 sec.,beta,1161
Cleave,Rank 1,Learned at level 20,20 Rage; Next melee,A sweeping attack that does your weapon damage plus 5 to the target and a second nearby enemy.,changed,A sweeping attack that does your weapon damage plus 5 to the target and his nearest ally.,beta,845
