tree,talent,rank,text,confirmed
Arms,Improved Heroic Strike,1,Reduces the cost of your Heroic Strike ability by 1 Rage.,True
Arms,Improved Heroic Strike,2,Reduces the cost of your Heroic Strike ability by 2 Rage.,True
Arms,Improved Heroic Strike,3,Reduces the cost of your Heroic Strike ability by 3 Rage.,True
Arms,Deflection,1,Increases your Parry chance by 1%.,True
Arms,Deflection,2,Increases your Parry chance by 2%.,True
Arms,Deflection,3,Increases your Parry chance by 3%.,True
Arms,Deflection,4,Increases your Parry chance by 4%.,True
Arms,Deflection,5,Increases your Parry chance by 5%.,True
Arms,Improved Rend,1,Increases the Bleed damage done by your Rend ability by 12%.,True
Arms,Improved Rend,2,Increases the Bleed damage done by your Rend ability by 23%.,True
Arms,Improved Rend,3,Increases the Bleed damage done by your Rend ability by 35%.,True
Arms,Improved Charge,1,Increases the Rage generated by your Charge ability by 3.,True
Arms,Improved Charge,2,Increases the Rage generated by your Charge ability by 6.,True
Arms,Improved Tactical Mastery,1,Tactical Mastery lets you retain up to an additional 3 Rage when you change stances.,True
Arms,Improved Tactical Mastery,2,Tactical Mastery lets you retain up to an additional 6 Rage when you change stances.,True
Arms,Improved Tactical Mastery,3,Tactical Mastery lets you retain up to an additional 9 Rage when you change stances.,True
Arms,Improved Tactical Mastery,4,Tactical Mastery lets you retain up to an additional 12 Rage when you change stances.,True
Arms,Improved Tactical Mastery,5,Tactical Mastery lets you retain up to an additional 15 Rage when you change stances.,True
Arms,Improved Overpower,1,Increases the critical strike chance of your Overpower ability by 25%.,True
Arms,Improved Overpower,2,Increases the critical strike chance of your Overpower ability by 50%.,True
Arms,Anger Management,1,"Generates 1 Rage every 3 sec while in combat, and reduces Rage loss while out of combat by 30%.",True
Arms,Deep Wounds,1,"Your critical strikes cause your opponent to Bleed, dealing 20% of your melee weapon's average damage over 12 sec.",True
Arms,Deep Wounds,2,"Your critical strikes cause your opponent to Bleed, dealing 40% of your melee weapon's average damage over 12 sec.",True
Arms,Deep Wounds,3,"Your critical strikes cause your opponent to Bleed, dealing 60% of your melee weapon's average damage over 12 sec.",True
Arms,Spearing Strike,1,"A brutal attack that deals 40% weapon damage. Deals an additional 80% weapon damage against Giants, Dragonkin, and mounted targets. Mounted targets are dismounted.",True
Arms,Two-Handed Weapon Specialization,1,Increases the damage you deal with two-handed melee weapons by 1%.,True
Arms,Two-Handed Weapon Specialization,2,Increases the damage you deal with two-handed melee weapons by 2%.,True
Arms,Two-Handed Weapon Specialization,3,Increases the damage you deal with two-handed melee weapons by 3%.,True
Arms,Impale,1,Increases the critical strike damage bonus of your abilities by 10%.,True
Arms,Impale,2,Increases the critical strike damage bonus of your abilities by 20%.,True
Arms,Bloodthrill,1,Your melee attacks against targets afflicted by your Rend have a 2% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,True
Arms,Bloodthrill,2,Your melee attacks against targets afflicted by your Rend have a 4% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,True
Arms,Bloodthrill,3,Your melee attacks against targets afflicted by your Rend have a 6% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,True
Arms,Bloodthrill,4,Your melee attacks against targets afflicted by your Rend have a 8% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,True
Arms,Bloodthrill,5,Your melee attacks against targets afflicted by your Rend have a 10% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,True
Arms,Sweeping Strikes,1,Your next 5 melee attacks strike an additional nearby opponent.,True
Arms,Weaponmaster,1,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 1%.

 Mace/Staff: Your attacks ignore
 3% of your target's armor.

 Sword: Your successful melee 
 attacks have a 1% chance to 
 trigger an extra attack on the 
 target.",True
Arms,Weaponmaster,2,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 2%.

 Mace/Staff: Your attacks ignore
 6% of your target's armor.

 Sword: Your successful melee 
 attacks have a 2% chance to 
 trigger an extra attack on the 
 target.",True
