tree,talent,row,col,max_rank,classic_status,classic_tree,classic_max_rank,forever_max_rank_text,classic_rank1_text,ranks_confirmed,source
Arms,Improved Heroic Strike,1,1,3,changed,Arms,3,Reduces the cost of your Heroic Strike ability by 3 Rage.,Reduces the cost of your Heroic Strike ability by 1 rage point.,1 2 3,beta
Arms,Deflection,1,2,5,same,Arms,5,Increases your Parry chance by 5%.,Increases your Parry chance by 1%.,1 2 3 4 5,beta
Arms,Improved Rend,1,3,3,changed,Arms,3,Increases the Bleed damage done by your Rend ability by 35%.,Increases the bleed damage done by your Rend ability by 15%.,1 2 3,beta
Arms,Improved Charge,2,1,2,changed,Arms,2,Increases the Rage generated by your Charge ability by 6.,Increases the amount of rage generated by your Charge ability by 3.,1 2,beta
Arms,Improved Tactical Mastery,2,2,5,changed,Arms,5,Tactical Mastery lets you retain up to an additional 15 Rage when you change stances.,You retain up to 5 of your rage points when you change stances.,1 2 3 4 5,beta
Arms,Improved Overpower,2,4,2,moved,Arms,2,Increases the critical strike chance of your Overpower ability by 50%.,Increases the critical strike chance of your Overpower ability by 25%.,1 2,beta
Arms,Anger Management,3,2,1,changed,Arms,1,"Generates 1 Rage every 3 sec while in combat, and reduces Rage loss while out of combat by 30%.",Increases the time required for your rage to decay while out of combat by 30%.,1,beta
Arms,Deep Wounds,3,3,3,changed,Arms,3,"Your critical strikes cause your opponent to Bleed, dealing 60% of your melee weapon's average damage over 12 sec.","Your critical strikes cause the opponent to bleed, dealing 20% of your melee weapon's average damage over 12 sec.",1 2 3,beta
Arms,Spearing Strike,4,1,1,new,,,"A brutal attack that deals 40% weapon damage. Deals an additional 80% weapon damage against Giants, Dragonkin, and mounted targets. Mounted targets are dismounted.",,1,beta
Arms,Two-Handed Weapon Specialization,4,2,3,changed,Arms,5,Increases the damage you deal with two-handed melee weapons by 3%.,Increases the damage you deal with two-handed melee weapons by 1%.,1 2 3,beta
Arms,Impale,4,3,2,changed,Arms,2,Increases the critical strike damage bonus of your abilities by 20%.,"Increases the critical strike damage bonus of your abilities in Battle, Defensive, and Berserker stance by 10%.",1 2,beta
Arms,Bloodthrill,5,1,5,new,,,Your melee attacks against targets afflicted by your Rend have a 10% chance to activate your Overpower ability for 1 attack on your current target. Lasts 6 sec.,,1 2 3 4 5,beta
Arms,Sweeping Strikes,5,2,1,same,Arms,1,Your next 5 melee attacks strike an additional nearby opponent.,Your next 5 melee attacks strike an additional nearby opponent.,1,beta
Arms,Weaponmaster,5,3,5,new,,,"Gives your melee weapon attacks a benefit depending on the weapon.

 Axe/Polearm: Increases your
 critical strike chance by 5%.

 Mace/Staff: Your attacks ignore
 15% of your target's armor.

 Sword: Your successful melee 
 attacks have a 5% chance to 
 trigger an extra attack on the 
 target.",,1 2 3 4 5,beta
Arms,Improved Slam,6,1,2,changed,Fury,5,"Reduces the global cooldown and cast time of your Slam ability by 0.50 sec. In addition, Slam no longer interrupts your melee swing time.",Decreases the casting time of your Slam ability by 0.1 sec.,1 2,beta
Arms,Improved Hamstring,6,3,3,same,Arms,3,Gives your Hamstring ability a 15% chance to immobilize the target for 5 sec.,Gives your Hamstring ability a 5% chance to immobilize the target for 5 sec.,1 2 3,beta
Arms,Mortal Strike,7,2,1,same,Arms,1,"A vicious strike that deals weapon damage plus 85 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.","A vicious strike that deals weapon damage plus 85 and wounds the target, reducing the effectiveness of any healing by 50% for 10 sec.",1,beta
Fury,Booming Voice,1,2,5,changed,Fury,5,Increases the radius of your Battle Shout and Demoralizing Shout abilities by 50%.,Increases the area of effect and duration of your Battle Shout and Demoralizing Shout by 10%.,1 2 3 4 5,beta
Fury,Cruelty,1,3,5,changed,Fury,5,Improves your chance to get a critical strike with melee attacks by 5%.,Increases your chance to get a critical strike with melee weapons by 1%.,1 2 3 4 5,beta
Fury,Iron Will,2,2,5,changed,Protection,5,Reduces the duration of Stun and Fear effects inflicted on you by 15%.,Increases your chance to resist Stun and Charm effects by an additional 3%.,1 2 3 4 5,beta
Fury,Unbridled Wrath,2,3,5,changed,Fury,5,Gives you a 60% chance to generate 1 additional Rage when you deal melee damage with a weapon. This effect is increased to 2 Rage for two-handed weapons.,Gives you a 8% chance to generate an additional Rage point when you deal melee damage with a weapon.,1 2 3 4 5,beta
Fury,Improved Cleave,3,1,3,changed,Fury,3,Reduces the Rage cost of your Cleave ability by 3.,Increases the bonus damage done by your Cleave ability by 40%.,1 2 3,beta
Fury,Piercing Howl,3,2,1,changed,Fury,1,"Causes all nearby enemies to be Dazed, reducing movement speed by 50% for 6 sec.","Causes all enemies near the warrior to be dazed, reducing movement speed by 50% for 6 sec.",1,beta
Fury,Blood Craze,3,3,3,changed,Fury,3,"Regenerates 3% of your total Health over 6 sec after being the victim of a critical strike, dealing damage with Bloodthirst, or suffering more than 20% of your maximum Health from a single attack.",Regenerates 1% of your total Health over 6 sec after being the victim of a critical strike.,1 2 3,beta
Fury,Boundless Rage,3,4,3,new,,,Increases your maximum Rage by 30.,,1 2 3,beta
Fury,Dual Wield Specialization,4,1,5,changed,Fury,5,"Increases your off-hand weapon damage by 25%, off-hand Rage generation by 100%, and chance to hit with off-hand attacks by 10%.",Increases the damage done by your offhand weapon by 5%.,1 2 3 4 5,beta
Fury,Raging Blows,4,2,1,new,,,"Causes your Whirlwind to also strike with your off-hand weapon, and reduces the Rage cost of your Cleave ability by 2.",,1,beta
Fury,Enrage,4,3,5,changed,Fury,5,Gives you a 30% chance to deal 10% increased Physical damage for 12 sec after being the victim of any damaging attack.,Gives you a 5% melee damage bonus for 12 sec up to a maximum of 12 swings after being the victim of a critical strike.,1 2 3 4 5,beta
Fury,Improved Execute,4,4,2,changed,Fury,2,Reduces the Rage cost of your Execute ability by 5.,Reduces the Rage cost of your Execute ability by 2.,1 2,beta
Fury,Precision,5,1,3,new,,,Improves your chance to hit by 3%.,,1 2 3,beta
Fury,Death Wish,5,2,1,changed,Fury,1,"When activated, increases your Physical damage done by 20% and makes you immune to Fear effects, but increases all damage you take by 5%. Lasts 30 sec.","When activated, increases your physical damage by 20% and makes you immune to Fear effects, but lowers your armor and all resistances by 20%. Lasts 30 sec.",1,beta
